,reg_type,reg,city,lat,long,fed_reg,population,is_centre
0,Респ,Адыгея,Майкоп,44.6098268,40.1006527,Южный,144055,1
1,Респ,Алтай,Горно-Алтайск,51.958268100000005,85.9602957,Сибирский,62861,1
2,край,Алтайский,Барнаул,53.3481145,83.7798362,Сибирский,635585,1
3,обл,Амурская,Благовещенск,50.2905935,127.5272186,Дальневосточный,214397,1
4,обл,Архангельская,Архангельск,64.5392985,40.5170083,Северо-Западный,348716,1
5,обл,Астраханская,Астрахань,46.3655808,48.0559979,Южный,520662,1
6,Респ,Башкортостан,Уфа,54.734853,55.9578647,Приволжский,1062300,1
7,обл,Белгородская,Белгород,50.5977351,36.585823600000005,Центральный,356426,1
8,обл,Брянская,Брянск,53.2420071,34.3652716,Центральный,415640,1
9,Респ,Бурятия,Улан-Удэ,51.8334378,107.5841511,Сибирский,431922,1
10,обл,Владимирская,Владимир,56.1281561,40.4082995,Центральный,348256,1
11,обл,Волгоградская,Волгоград,48.7072005,44.5170207,Южный,1021244,1
12,обл,Вологодская,Вологда,59.2484186,39.8356461,Северо-Западный,301642,1
13,обл,Воронежская,Воронеж,51.6592378,39.1968284,Центральный,889680,1
14,Респ,Дагестан,Махачкала,42.98485720000001,47.504630299999995,Северо-Кавказский,577990,1
15,Аобл,Еврейская,Биробиджан,48.794597499999995,132.9217594,Дальневосточный,75419,1
16,край,Забайкальский,Чита,52.0340128,113.4994884,Сибирский,323964,1
17,обл,Ивановская,Иваново,56.999467700000004,40.9728231,Центральный,409277,1
18,Респ,Ингушетия,Магас,43.1686967,44.8130849,Северо-Кавказский,2505,1
19,обл,Иркутская,Иркутск,52.2863513,104.28065500000001,Сибирский,587225,1
20,Респ,Кабардино-Балкарская,Нальчик,43.4846312,43.6070316,Северо-Кавказский,240095,1
21,обл,Калининградская,Калининград,54.7073218,20.5072458,Северо-Западный,431491,1
22,Респ,Калмыкия,Элиста,46.308294700000005,44.2701417,Южный,103728,1
23,обл,Калужская,Калуга,54.5060439,36.251593299999996,Центральный,325185,1
24,край,Камчатский,Петропавловск-Камчатский,53.0370213,158.6559142,Дальневосточный,179526,1
25,Респ,Карачаево-Черкесская,Черкесск,44.2268637,42.0467829,Северо-Кавказский,121439,1
26,Респ,Карелия,Петрозаводск,61.78909,34.359626299999995,Северо-Западный,263540,1
27,обл,Кемеровская,Кемерово,55.3909721,86.0467864,Сибирский,532884,1
28,обл,Кировская,Киров,58.60353129999999,49.667921899999996,Приволжский,473668,1
29,Респ,Коми,Сыктывкар,61.668789000000004,50.835649100000005,Северо-Западный,235006,1
30,обл,Костромская,Кострома,57.802944499999995,40.9907282,Центральный,268617,1
31,край,Краснодарский,Краснодар,45.040234999999996,38.976080100000004,Южный,744933,1
32,край,Красноярский,Красноярск,56.009466,92.85241620000001,Сибирский,973826,1
33,Респ,Крым,Симферополь,44.9482645,34.100117,Южный,362366,1
34,обл,Курганская,Курган,55.444344799999996,65.3161339,Уральский,333640,1
35,обл,Курская,Курск,51.7303391,36.1926448,Центральный,414595,1
36,обл,Ленинградская,Всеволожск,60.0190094,30.645583399999996,Северо-Западный,59689,1
37,обл,Липецкая,Липецк,52.6103027,39.5946266,Центральный,508124,1
38,обл,Магаданская,Магадан,59.56817629999999,150.8085289,Дальневосточный,95925,1
39,Респ,Марий Эл,Йошкар-Ола,56.63437629999999,47.8998445,Приволжский,248688,1
40,Респ,Мордовия,Саранск,54.1807601,45.186226299999994,Приволжский,297425,1
41,г,Москва,Москва,55.7538789,37.6203735,Центральный,11514330,1
42,обл,Московская,Красногорск,55.831847499999995,37.32942,Центральный,116738,1
43,обл,Мурманская,Мурманск,69.0076958,33.0686019,Северо-Западный,307664,1
44,АО,Ненецкий,Нарьян-Мар,67.6381525,53.0069336,Северо-Западный,21296,1
45,обл,Нижегородская,Нижний Новгород,56.3242093,44.0053948,Приволжский,1250615,1
46,обл,Новгородская,Великий Новгород,58.5214003,31.275505100000004,Северо-Западный,218724,1
47,обл,Новосибирская,Новосибирск,55.02810160000001,82.92105749999999,Сибирский,1498921,1
48,обл,Омская,Омск,54.9848136,73.3674638,Сибирский,1154000,1
49,обл,Оренбургская,Оренбург,51.7875191,55.101737899999996,Приволжский,570329,1
50,обл,Орловская,Орёл,52.9672573,36.0696479,Центральный,317854,1
51,обл,Пензенская,Пенза,53.175388399999996,45.0347408,Приволжский,519592,1
52,край,Пермский,Пермь,58.0103211,56.23417779999999,Приволжский,1000679,1
53,край,Приморский,Владивосток,43.1163807,131.882348,Дальневосточный,592069,1
54,обл,Псковская,Псков,57.819283999999996,28.3318188,Северо-Западный,203974,1
55,обл,Ростовская,Ростов-на-Дону,47.2224364,39.7187866,Южный,1091544,1
56,обл,Рязанская,Рязань,54.625457,39.7359992,Центральный,525062,1
57,обл,Самарская,Самара,53.195165700000004,50.1067691,Приволжский,1164900,1
58,г,Санкт-Петербург,Санкт-Петербург,59.939125,30.315822499999996,Северо-Западный,4848742,1
59,обл,Саратовская,Саратов,51.530376000000004,45.953025700000005,Приволжский,836900,1
60,обл,Сахалинская,Южно-Сахалинск,46.959133,142.73812519999998,Дальневосточный,181727,1
61,обл,Свердловская,Екатеринбург,56.8386326,60.6054887,Уральский,1377738,1
62,г,Севастополь,Севастополь,44.616733399999994,33.5253552,Южный,344479,1
63,Респ,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,Северо-Кавказский,311635,1
64,обл,Смоленская,Смоленск,54.786716799999994,31.815336600000006,Центральный,326863,1
65,край,Ставропольский,Ставрополь,45.0445439,41.96901679999999,Северо-Кавказский,398266,1
66,обл,Тамбовская,Тамбов,52.72130210000001,41.452258,Центральный,280457,1
67,Респ,Татарстан,Казань,55.794387699999994,49.1115312,Приволжский,1216965,1
68,обл,Тверская,Тверь,56.85853960000001,35.9117898,Центральный,403726,1
69,обл,Томская,Томск,56.484703599999996,84.94817370000001,Сибирский,522940,1
70,обл,Тульская,Тула,54.19201700000001,37.6153885,Центральный,501129,1
71,Респ,Тыва,Кызыл,51.7191542,94.43772340000001,Сибирский,109906,1
72,обл,Тюменская,Тюмень,57.1530824,65.5343118,Уральский,581758,1
73,Респ,Удмуртская,Ижевск,56.8527444,53.2113961,Приволжский,628117,1
74,обл,Ульяновская,Ульяновск,54.3080674,48.3748717,Приволжский,613793,1
75,край,Хабаровский,Хабаровск,48.4647991,135.0598811,Дальневосточный,577668,1
76,Респ,Хакасия,Абакан,53.722366099999995,91.4437792,Сибирский,165183,1
77,АО,Ханты-Мансийский Автономный округ - Югра,Ханты-Мансийск,61.002434400000006,69.0183322,Уральский,79410,1
78,обл,Челябинская,Челябинск,55.160365899999995,61.4007858,Уральский,1130273,1
79,Респ,Чеченская,Грозный,43.317924299999994,45.6981102,Северо-Кавказский,271596,1
80,Чувашия,Чувашская,Чебоксары,56.1439378,47.248871799999996,Приволжский,447929,1
81,АО,Чукотский,Анадырь,64.73143470000001,177.5015752,Дальневосточный,13053,1
82,Респ,Саха /Якутия/,Якутск,62.02802729999999,129.7325717,Дальневосточный,269486,1
83,АО,Ямало-Ненецкий,Салехард,66.5493568,66.6083994,Уральский,42494,1
84,обл,Ярославская,Ярославль,57.6216145,39.897878000000006,Центральный,591486,1
